Variable,Description,Values,Significance,Color,ROI
R1,2D Influence,"[[0.00291431]
 [0.00228763]
 [0.00081608]
 [0.00078897]
 [0.0022707 ]
 [0.00120555]
 [0.00134287]
 [0.00175352]]",[0.0004622],,hV4_lh
R2,3D Influence,"[[0.00093266]
 [0.00052174]
 [0.00043474]
 [0.00028955]
 [0.00077315]
 [0.00065447]
 [0.00040484]
 [0.0007232 ]]",[0.00011116],,hV4_lh
R3,Semantic Influence,"[[0.00458421]
 [0.00287488]
 [0.00199627]
 [0.00176134]
 [0.00351487]
 [0.0029987 ]
 [0.00230533]
 [0.00484536]]",[0.00011572],,hV4_lh
R12,Combined 2D and 3D Influence,"[[0.00292954]
 [0.00228964]
 [0.00087222]
 [0.00080009]
 [0.0022903 ]
 [0.00129363]
 [0.00134665]
 [0.00179887]]",[0.00037849],,hV4_lh
R13,Combined 2D and Semantic Influence,"[[0.00532348]
 [0.00361332]
 [0.0020983 ]
 [0.00187977]
 [0.00410205]
 [0.00314405]
 [0.00261024]
 [0.00500954]]",[0.00011924],,hV4_lh
R23,Combined 3D and Semantic Influence,"[[0.00513459]
 [0.00329333]
 [0.0022067 ]
 [0.0020578 ]
 [0.00387794]
 [0.00331341]
 [0.00265818]
 [0.00577059]]",[0.00013826],,hV4_lh
R123,Combined All Variables Influence,"[[0.00644446]
 [0.0045325 ]
 [0.00244151]
 [0.00234764]
 [0.00487992]
 [0.00365299]
 [0.00325595]
 [0.00631512]]",[0.00013595],,hV4_lh
y123,Shared Variance All,"[[0.00148803]
 [0.00102045]
 [0.00051139]
 [0.00044984]
 [0.00116835]
 [0.00076063]
 [0.00069392]
 [0.0010582 ]]",[0.00018364],,hV4_lh
y12,Shared Variance 2D and 3D,"[[-0.0005706 ]
 [-0.00050073]
 [-0.00013278]
 [-0.00017141]
 [-0.0004148 ]
 [-0.00019423]
 [-0.00029285]
 [-0.00038035]]",[0.00063041],,hV4_lh
y13,Shared Variance 2D and Semantic,"[[0.00068701]
 [0.00052873]
 [0.00020266]
 [0.0002207 ]
 [0.00051517]
 [0.00029957]
 [0.00034404]
 [0.00053113]]",[0.00026044],,hV4_lh
y23,Shared Variance 3D and Semantic,"[[-0.00110574]
 [-0.00091716]
 [-0.00028707]
 [-0.00045675]
 [-0.00075827]
 [-0.00042086]
 [-0.00064193]
 [-0.00126023]]",[0.00054437],,hV4_lh
y1,Unique 2D,"[[0.00130987]
 [0.00123917]
 [0.00023481]
 [0.00028984]
 [0.00100198]
 [0.00033958]
 [0.00059777]
 [0.00054454]]",[0.00262156],,hV4_lh
y2,Unique 3D,"[[0.00112098]
 [0.00091918]
 [0.00034321]
 [0.00046786]
 [0.00077787]
 [0.00050894]
 [0.00064571]
 [0.00130558]]",[0.00036257],,hV4_lh
y3,Unique Semantic,"[[0.00351492]
 [0.00224285]
 [0.0015693 ]
 [0.00154755]
 [0.00258962]
 [0.00235937]
 [0.0019093 ]
 [0.00451625]]",[0.00020993],,hV4_lh
UNC,Upper Noise Ceiling,[0.26287818],[nan],,hV4_lh
LNC,Lower Noise Ceiling,[0.099376],[nan],,hV4_lh
R1,2D Influence,"[[0.00355533]
 [0.00273107]
 [0.00075049]
 [0.0010299 ]
 [0.00258478]
 [0.00074695]
 [0.00090784]
 [0.00137017]]",[0.00298877],,hV4_rh
R2,3D Influence,"[[0.00139624]
 [0.0007269 ]
 [0.00040502]
 [0.00064084]
 [0.00077301]
 [0.00050744]
 [0.000506  ]
 [0.00090497]]",[0.00030387],,hV4_rh
R3,Semantic Influence,"[[0.007605  ]
 [0.00376399]
 [0.00203705]
 [0.00281548]
 [0.00292395]
 [0.00180847]
 [0.00266456]
 [0.00491203]]",[0.00112637],,hV4_rh
R12,Combined 2D and 3D Influence,"[[0.00362788]
 [0.00273166]
 [0.0008043 ]
 [0.00114239]
 [0.00259137]
 [0.00085001]
 [0.00097983]
 [0.00154589]]",[0.00208074],,hV4_rh
R13,Combined 2D and Semantic Influence,"[[0.00818167]
 [0.00456779]
 [0.00211064]
 [0.00291464]
 [0.00384203]
 [0.00190392]
 [0.00273642]
 [0.00496363]]",[0.0010261],,hV4_rh
R23,Combined 3D and Semantic Influence,"[[0.00869197]
 [0.00425919]
 [0.00229189]
 [0.00308622]
 [0.00311896]
 [0.00190964]
 [0.00302513]
 [0.00561023]]",[0.00140988],,hV4_rh
R123,Combined All Variables Influence,"[[0.00998349]
 [0.00562983]
 [0.00249342]
 [0.00333602]
 [0.00444264]
 [0.00209278]
 [0.00325222]
 [0.00587012]]",[0.0013572],,hV4_rh
y123,Shared Variance All,"[[0.00203855]
 [0.00129315]
 [0.00047914]
 [0.00067899]
 [0.00117202]
 [0.00049207]
 [0.00058926]
 [0.00093754]]",[0.00140296],,hV4_rh
y12,Shared Variance 2D and 3D,"[[-7.14851909e-04]
 [-5.66840814e-04]
 [-1.27931351e-04]
 [-1.50637565e-04]
 [-4.05601263e-04]
 [-8.76918516e-05]
 [-1.55240147e-04]
 [-2.08289235e-04]]",[0.00802737],,hV4_rh
y13,Shared Variance 2D and Semantic,"[[0.00094011]
 [0.00063412]
 [0.00019775]
 [0.00025175]
 [0.00049468]
 [0.00015943]
 [0.00024673]
 [0.00038104]]",[0.00324015],,hV4_rh
