ROI,R2_full,Unique_2D,Unique_3D,Unique_Semantic,Shared
PPA_lh,0.006799521085741861,4.5552432727996583e-05,0.0005308893504216844,0.0054304382472040585,0.0007926410553881214
PPA_rh,0.007558157106743221,3.3911621832388716e-05,0.000515577305092621,0.006250322610913767,0.0007583455689044449
V1d_lh,0.009650921711277141,0.0037019789842516193,0.0013562102880517318,0.0026570195338197905,0.0019357129051539995
V1d_rh,0.007639357261247107,0.0026098849355076503,0.0009152077745914755,0.0023364107772830267,0.0017778537738649541
V1v_lh,0.013494542610698934,0.004170988461574279,0.0009216449644071784,0.004399641117191724,0.004002268067525752
V1v_rh,0.010089842531403673,0.0035279263258273935,0.00019953165898632663,0.0025628898597692545,0.003799494686820698
V2d_lh,0.004368846499502019,0.0013477846160570017,0.0006304266959295812,0.0014804334205386765,0.0009102017669767593
V2d_rh,0.004407581275406608,0.0008611129905979481,0.000604078180460127,0.0019985842061978343,0.0009438058981506986
V2v_lh,0.011404936919334488,0.002154984138219629,0.0009430765085845366,0.005169189675689842,0.0031376865968404805
V2v_rh,0.007899842572073781,0.001668450265781482,0.00039518889396802925,0.0033021960539864337,0.0025340073583378364
V3d_lh,0.003138376097860218,0.0006633016252694524,0.0004488697232515326,0.0013753888288868532,0.00065081592045238
V3d_rh,0.0040855661704701784,0.0008263203822538312,0.0005663850856004599,0.0018476281160371283,0.0008452325865787591
V3v_lh,0.005733798729271544,0.0008178654941462804,0.0007254296393096327,0.00298331268518999,0.0012071909106256412
V3v_rh,0.005008837702954405,0.0007454745960700643,0.0004552025233029722,0.0025280776054230764,0.0012800829781582923
hV4_lh,0.00488085662990656,0.0006946940759212511,0.0007611664879421803,0.0025311452578258703,0.0008938508082172586
hV4_rh,0.005186875362627463,0.0006384130638432545,0.0007349731470939064,0.0028533994697730047,0.0009600896819172977
