Variable,Description,Values,Significance,Color,ROI
R1,2D Influence,"[[0.07432492]
 [0.09499882]
 [0.0892729 ]
 [0.08598474]
 [0.08600231]
 [0.03831192]
 [0.10511806]
 [0.07492247]
 [0.07571391]
 [0.06199735]
 [0.04400254]
 [0.0860995 ]
 [0.00093645]
 [0.04546462]
 [0.07503352]
 [0.04896186]]",[3.71279693e-08],,V1d
R2,3D Influence,"[[0.02684219]
 [0.02560132]
 [0.02571715]
 [0.03486222]
 [0.03497332]
 [0.00818397]
 [0.05170405]
 [0.03351015]
 [0.01922292]
 [0.01665183]
 [0.00957082]
 [0.03519035]
 [0.0001996 ]
 [0.01517681]
 [0.02504151]
 [0.01939931]]",[1.91933445e-06],,V1d
R3,Semantic Influence,"[[0.06475625]
 [0.08175562]
 [0.07337304]
 [0.08065676]
 [0.07755564]
 [0.0425247 ]
 [0.10566137]
 [0.07601517]
 [0.0793114 ]
 [0.05115706]
 [0.03872483]
 [0.09443955]
 [0.00507104]
 [0.03511001]
 [0.07849738]
 [0.05139013]]",[4.30869747e-08],,V1d
R12,Combined 2D and 3D Influence,"[[0.07594651]
 [0.10157927]
 [0.09434465]
 [0.08679706]
 [0.08679256]
 [0.0428337 ]
 [0.1051219 ]
 [0.07512499]
 [0.0818514 ]
 [0.06633197]
 [0.04901867]
 [0.08685347]
 [0.00104743]
 [0.04694472]
 [0.07747882]
 [0.04952755]]",[2.63779429e-08],,V1d
R13,Combined 2D and Semantic Influence,"[[0.07879198]
 [0.10028993]
 [0.09292591]
 [0.09378864]
 [0.09232133]
 [0.04563269]
 [0.11841695]
 [0.08480441]
 [0.08717613]
 [0.06460662]
 [0.04681178]
 [0.10181046]
 [0.00665979]
 [0.04659743]
 [0.08633126]
 [0.05643612]]",[2.45000232e-08],,V1d
R23,Combined 3D and Semantic Influence,"[[0.06518742]
 [0.08179358]
 [0.07339726]
 [0.0814357 ]
 [0.07859058]
 [0.0437479 ]
 [0.10803269]
 [0.07687327]
 [0.08016823]
 [0.05116046]
 [0.03909695]
 [0.094596  ]
 [0.00616217]
 [0.03544931]
 [0.07851542]
 [0.05149684]]",[4.01924988e-08],,V1d
R123,Combined All Variables Influence,"[[0.08076256]
 [0.10763009]
 [0.09855208]
 [0.09493814]
 [0.09340886]
 [0.05089619]
 [0.11849706]
 [0.08521563]
 [0.09439615]
 [0.06937487]
 [0.0523122 ]
 [0.10304256]
 [0.00688891]
 [0.04824428]
 [0.0894649 ]
 [0.05728086]]",[1.6285028e-08],,V1d
y123,Shared Variance All,"[[ 0.02676001]
 [ 0.02632306]
 [ 0.02624735]
 [ 0.03442046]
 [ 0.03423568]
 [ 0.00770249]
 [ 0.04940899]
 [ 0.03286075]
 [ 0.01944862]
 [ 0.01708206]
 [ 0.00968299]
 [ 0.03551203]
 [-0.0007734 ]
 [ 0.01500425]
 [ 0.02571181]
 [ 0.01957165]]",[1.6484282e-06],,V1d
y12,Shared Variance 2D and 3D,"[[-1.53941023e-03]
 [-7.30219326e-03]
 [-5.60194799e-03]
 [-3.70549737e-04]
 [-5.26008845e-05]
 [-4.04030349e-03]
 [ 2.29121084e-03]
 [ 4.46881273e-04]
 [-6.36319211e-03]
 [-4.76484563e-03]
 [-5.12829903e-03]
 [-1.07564654e-03]
 [ 8.62018397e-04]
 [-1.30754390e-03]
 [-3.11559382e-03]
 [-7.38031472e-04]]",[0.00486327],,V1d
y13,Shared Variance 2D and Semantic,"[[0.03352917]
 [0.05014144]
 [0.04347268]
 [0.03843241]
 [0.03700095]
 [0.02750143]
 [0.04295348]
 [0.03327248]
 [0.04840056]
 [0.03146574]
 [0.0262326 ]
 [0.04321656]
 [0.0001211 ]
 [0.01897294]
 [0.04148783]
 [0.02434421]]",[1.98484262e-08],,V1d
