ROI,R2_full,Unique_2D,Unique_3D,Unique_Semantic,Shared
LO1,0.0054259631392174,0.0016481245487036805,0.001670502390026106,0.002047058143847917,6.027805663969682e-05
LO2,0.005274310830497411,0.0016994009917049094,0.0017813440619026677,0.0017830785947313063,1.0487182158527841e-05
PHC1,0.007309745623077769,0.002307303067249092,0.002468853650437461,0.0026031389511126865,-6.955004572146983e-05
PHC2,0.005157079883966034,0.0015222194702437172,0.002189721192660976,0.002096058229967876,-0.000650919008906535
PPA,0.004763525080641123,0.0020495409261755346,0.0015810316328326857,0.0008375010516809278,0.0002954514699519753
V1d,0.04720093262055289,0.01282509754409221,0.00296899432180682,0.0077069161060759825,0.023699924648577876
V1v,0.049144211157348745,0.010932058294071907,0.0013162207876636217,0.00677439550978063,0.030121536565832586
V2d,0.02658289444148399,0.009787797749363072,0.005150139121522214,0.0045067832018151205,0.007138174368783584
V2v,0.025799460477803036,0.005723126936383445,0.0010557294720644136,0.004145488974503543,0.014875115094851635
V3a,0.008858180058467113,0.003189249225586624,0.0020818674295637676,0.0018497538692693744,0.0017373095340473474
V3b,0.0050059825935792265,0.0013633262333737003,0.0015398180282292645,0.0018240898916965717,0.00027874844027969
V3d,0.016704197771457756,0.005487061573543089,0.004368757483408675,0.004082439278066549,0.002765939436439442
V3v,0.01876624351058205,0.004654774403410014,0.0008961646799003839,0.0034087252469408025,0.00980657918033085
VO1,0.008986647151198589,0.0023881857949374363,0.0012878885508166918,0.0024882365200456433,0.0028223362853988174
VO2,0.007035955823348844,0.0022915525217685473,0.001679882233704709,0.0021881097825563814,0.0008764112853192063
hV4,0.01509242619324766,0.004305890509455908,0.0008480936816881862,0.0026017988881704285,0.0073366431139331376
