ROI,R2_full,Unique_2D,Unique_3D,Unique_Semantic,Shared
LO1,0.006655600064050117,0.003942555106582077,0.0013618008052682581,0.000580521174201612,0.00077072297799817
LO2,0.006639169755473892,0.0034997295803238584,0.0015267836215391156,0.0006355951272470559,0.0009770614263638622
PHC1,0.009525655200661953,0.004826700493287726,0.0022583052883192456,0.0015872260575354458,0.0008534233615195355
PHC2,0.005942245815654182,0.003953225897298414,0.0015805844703735764,0.0006784285085921771,-0.0002699930606099854
V1d,0.07758490205309418,0.02550488412183525,0.003640950288792133,0.008637533265140211,0.03980153437732658
V1v,0.08875756267494683,0.018558475251868725,0.0035229757183688343,0.01619749704828472,0.05047861465642455
V2d,0.03912267008100086,0.021617070168430078,0.0026774503078839523,0.0014395880474973102,0.013388561557189517
V2v,0.04451184746773558,0.010093898597651307,0.001874986594779804,0.006561634729485913,0.025981327545818556
V3a,0.013025710708154135,0.007018575349055915,0.0014893722877065557,0.0010160972535287749,0.0035016658178628896
V3b,0.006505040229787887,0.004131473529497123,0.0010389991779833976,0.00038846830212842937,0.0009460992201789364
V3d,0.023831833025508967,0.01443891192057227,0.002011919471772053,0.0008856150388970863,0.006495386594267558
V3v,0.03068494748474581,0.00805596817124446,0.0013084085482324426,0.0037803434444370204,0.017540227320831887
VO1,0.013466307379689069,0.004453312222537538,0.0014384774285010685,0.001972140992144912,0.00560237673650555
VO2,0.010036261092678585,0.004128353372940263,0.001895094390974926,0.0018081566469442603,0.002204656681819135
hV4,0.02415550113918058,0.0072366265692435025,0.001381207898421881,0.0027771742764356663,0.01276049239507953
